home_team,away_team,date,score_home,score_away,winner
Tottenham,Burnley,2024-05-11 14:00:00,2,1,1
West Ham,Luton Town,2024-05-11 14:00:00,3,1,1
Wolverhampton,Crystal Palace,2024-05-11 14:00:00,1,3,2
Nottingham,Chelsea,2024-05-11 16:30:00,2,3,2
Man United,Arsenal,2024-05-12 15:30:00,0,1,2
Aston Villa,Liverpool,2024-05-13 19:00:00,3,3,0
Tottenham,Man City,2024-05-14 19:00:00,0,2,2
Brighton Hove,Chelsea,2024-05-15 18:45:00,1,2,2
Man United,Newcastle,2024-05-15 19:00:00,3,2,1
Arsenal,Everton,2024-05-19 15:00:00,2,1,1
Brentford,Newcastle,2024-05-19 15:00:00,2,4,2
Brighton Hove,Man United,2024-05-19 15:00:00,0,2,2
Burnley,Nottingham,2024-05-19 15:00:00,1,2,2
Chelsea,Bournemouth,2024-05-19 15:00:00,2,1,1
Crystal Palace,Aston Villa,2024-05-19 15:00:00,5,0,1
Liverpool,Wolverhampton,2024-05-19 15:00:00,2,0,1
Luton Town,Fulham,2024-05-19 15:00:00,2,4,2
Man City,West Ham,2024-05-19 15:00:00,3,1,1
Sheffield Utd,Tottenham,2024-05-19 15:00:00,0,3,2
